,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
0,2017,Mitchell Trubisky,2,2017-10-09,L,12,25,128,1,1,60.1,1,3,22,0,1
1,2017,Mitchell Trubisky,2,2017-10-15,W,8,16,113,1,0,94.0,4,4,32,0,2
2,2017,Mitchell Trubisky,2,2017-10-22,W,4,7,107,0,0,101.8,4,5,3,0,0
3,2017,Mitchell Trubisky,2,2017-10-29,L,14,32,164,0,1,46.9,2,3,53,0,0
4,2017,Mitchell Trubisky,2,2017-11-12,L,21,35,297,1,0,97.0,5,0,0,0,0
5,2017,Mitchell Trubisky,2,2017-11-19,L,18,30,179,1,0,88.1,1,6,53,0,1
6,2017,Mitchell Trubisky,2,2017-11-26,L,17,33,147,0,2,38.3,2,4,12,0,2
7,2017,Mitchell Trubisky,2,2017-12-03,L,12,15,102,1,0,117.2,2,4,19,0,2
8,2017,Mitchell Trubisky,2,2017-12-10,W,25,32,271,1,0,112.4,2,2,5,1,0
9,2017,Mitchell Trubisky,2,2017-12-16,L,31,46,314,1,3,66.8,2,2,3,0,1
10,2017,Mitchell Trubisky,2,2017-12-24,W,14,23,193,0,0,87.8,5,7,44,1,1
11,2017,Mitchell Trubisky,2,2017-12-31,L,20,36,178,0,0,69.0,1,1,2,0,0
12,2017,Mitchell Trubisky,2,2018-09-09,L,23,35,171,0,0,77.2,4,7,32,1,2
13,2017,Mitchell Trubisky,2,2018-09-17,W,25,34,200,2,2,83.0,2,5,24,0,0
14,2017,Mitchell Trubisky,2,2018-09-23,W,24,35,220,0,1,73.5,3,2,8,0,1
15,2017,Mitchell Trubisky,2,2018-09-30,W,19,26,354,6,0,154.6,1,3,53,0,0
16,2017,Mitchell Trubisky,2,2018-10-14,L,22,31,316,3,1,122.5,2,8,47,0,0
17,2017,Mitchell Trubisky,2,2018-10-21,L,26,50,333,2,2,69.8,2,6,81,1,0
