,Name,Draft Pick,Date,Game Result (W/L),Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
0,Joe Burrow,1,2020-09-13,L,23,36,193,0,1,66.1,3,8,46,1,1
1,Joe Burrow,1,2020-09-17,L,37,61,316,3,0,90.6,3,7,19,0,2
2,Joe Burrow,1,2020-09-27,T,31,44,312,2,0,105.5,8,1,-1,0,0
3,Joe Burrow,1,2020-10-04,W,25,36,300,1,1,92.4,1,4,11,0,0
4,Joe Burrow,1,2020-10-11,L,19,30,183,0,1,66.4,7,3,10,0,2
5,Joe Burrow,1,2020-10-18,L,25,39,313,0,1,78.3,2,3,2,1,0
6,Joe Burrow,1,2020-10-25,L,35,47,406,3,1,112.5,4,6,34,1,3
7,Joe Burrow,1,2020-11-01,W,26,37,249,2,0,106.7,0,3,9,0,0
8,Joe Burrow,1,2020-11-15,L,21,40,213,1,0,76.4,4,0,0,0,0
9,Joe Burrow,1,2020-11-22,L,22,34,203,1,0,90.7,0,2,12,0,1
10,Joe Burrow,1,2021-09-12,W,20,27,261,2,0,128.8,5,1,2,0,0
11,Joe Burrow,1,2021-09-19,L,19,30,207,2,3,66.2,5,0,0,0,0
12,Joe Burrow,1,2021-09-26,W,14,18,172,3,1,122.9,0,5,7,0,0
13,Joe Burrow,1,2021-09-30,W,25,32,348,2,0,132.8,1,3,4,0,0
14,Joe Burrow,1,2021-10-10,L,26,38,281,2,2,85.5,3,3,11,0,0
15,Joe Burrow,1,2021-10-17,W,19,29,271,3,1,115.7,2,5,20,0,0
16,Joe Burrow,1,2021-10-24,W,23,38,416,3,1,113.5,1,1,0,0,0
17,Joe Burrow,1,2021-10-31,L,21,34,259,3,1,102.5,3,1,-1,0,1
18,Joe Burrow,1,2021-11-07,L,28,40,282,0,2,69.0,5,2,1,0,1
19,Joe Burrow,1,2021-11-21,W,20,29,148,1,0,92.3,3,3,11,0,1
20,Joe Burrow,1,2021-11-28,W,20,24,190,1,1,96.2,2,1,8,1,0
21,Joe Burrow,1,2021-12-05,L,24,40,300,1,2,70.8,6,1,6,1,1
22,Joe Burrow,1,2021-12-12,L,25,34,348,2,0,125.6,5,2,3,0,1
23,Joe Burrow,1,2021-12-19,W,15,22,157,1,0,103.8,3,5,25,0,0
24,Joe Burrow,1,2021-12-26,W,37,46,525,4,0,143.2,3,2,11,0,0
25,Joe Burrow,1,2022-01-02,W,30,39,446,4,0,148.0,4,5,10,0,0
26,Joe Burrow,1,2022-09-11,L,33,53,338,2,4,61.7,7,6,47,0,2
27,Joe Burrow,1,2022-09-18,L,24,36,199,1,0,89.9,6,4,26,0,1
28,Joe Burrow,1,2022-09-25,W,23,36,275,3,0,114.9,2,5,0,0,0
29,Joe Burrow,1,2022-09-29,W,20,31,287,2,0,115.9,1,5,6,0,0
30,Joe Burrow,1,2022-10-09,L,24,35,217,1,1,82.7,2,3,6,1,0
31,Joe Burrow,1,2022-10-16,W,28,37,300,3,0,126.0,3,4,25,1,0
32,Joe Burrow,1,2022-10-23,W,34,42,481,3,0,138.2,3,3,20,1,0
33,Joe Burrow,1,2022-10-31,L,25,35,232,2,1,96.4,5,1,2,0,1
34,Joe Burrow,1,2022-11-06,W,22,28,206,1,0,109.2,1,4,9,1,0
35,Joe Burrow,1,2022-11-20,W,24,39,355,4,2,104.1,2,4,5,0,0
36,Joe Burrow,1,2022-11-27,W,22,37,270,1,0,91.0,1,9,32,0,0
37,Joe Burrow,1,2022-12-04,W,25,31,286,2,0,126.6,1,11,46,1,0
38,Joe Burrow,1,2022-12-11,W,18,33,239,2,1,85.3,1,6,10,0,0
39,Joe Burrow,1,2022-12-18,W,27,39,200,4,1,104.6,2,3,8,0,1
40,Joe Burrow,1,2022-12-24,W,40,52,375,3,2,99.4,2,4,5,0,0
41,Joe Burrow,1,2023-01-08,W,25,42,215,1,0,81.0,2,3,10,0,1
42,Joe Burrow,1,2023-09-10,L,14,31,82,0,0,52.2,2,1,-1,0,0
43,Joe Burrow,1,2023-09-17,L,27,41,222,2,1,85.6,1,1,5,0,0
44,Joe Burrow,1,2023-09-25,W,26,49,259,0,1,59.8,2,3,-2,0,0
45,Joe Burrow,1,2023-10-01,L,20,30,165,0,0,80.6,3,3,1,0,1
46,Joe Burrow,1,2023-10-08,W,36,46,317,3,1,108.1,3,4,7,0,0
47,Joe Burrow,1,2023-10-15,W,24,35,185,2,1,88.4,3,2,4,0,0
48,Joe Burrow,1,2023-10-29,W,28,32,283,3,0,134.8,3,6,43,0,0
49,Joe Burrow,1,2023-11-05,W,31,44,348,2,0,108.9,1,5,4,0,0
50,Joe Burrow,1,2023-11-12,L,27,40,347,2,2,90.3,4,5,20,0,1
51,Joe Burrow,1,2023-11-16,L,11,17,101,1,0,100.4,2,1,7,0,0
52,Joe Burrow,1,2024-09-08,L,21,29,164,0,0,86.0,3,4,15,0,1
53,Joe Burrow,1,2024-09-15,L,23,36,258,2,0,103.7,3,6,9,0,2
54,Joe Burrow,1,2024-09-23,L,29,38,324,3,0,127.5,2,1,4,0,0
55,Joe Burrow,1,2024-09-29,W,22,31,232,2,1,100.5,0,1,10,0,0
56,Joe Burrow,1,2024-10-06,L,30,39,392,5,1,137.0,3,2,1,0,0
57,Joe Burrow,1,2024-10-13,W,19,28,208,0,0,89.6,4,4,55,1,0
58,Joe Burrow,1,2024-10-20,W,15,25,181,2,0,108.9,3,3,-3,0,0
59,Joe Burrow,1,2024-10-27,L,26,37,234,1,1,84.7,1,3,15,0,0
60,Joe Burrow,1,2024-11-03,W,27,39,251,5,1,115.5,1,3,11,0,0
61,Tua Tagovailoa,5,2020-11-01,W,12,22,93,1,0,80.3,1,2,0,0,1
62,Tua Tagovailoa,5,2020-11-08,W,20,28,248,2,0,122.3,3,7,35,0,0
63,Tua Tagovailoa,5,2020-11-15,W,15,25,169,2,0,106.9,0,6,-1,0,0
64,Tua Tagovailoa,5,2020-11-22,L,11,20,83,1,0,81.9,6,0,0,0,0
65,Tua Tagovailoa,5,2020-12-06,W,26,39,296,1,0,97.8,0,3,3,0,0
66,Tua Tagovailoa,5,2020-12-13,L,28,48,316,2,1,83.3,4,6,24,1,0
67,Tua Tagovailoa,5,2020-12-20,W,20,26,145,0,1,73.4,2,3,9,2,0
68,Tua Tagovailoa,5,2020-12-26,W,17,22,94,1,0,99.4,3,3,11,0,0
69,Tua Tagovailoa,5,2021-01-03,L,35,58,361,1,3,62.5,1,6,28,0,0
70,Tua Tagovailoa,5,2021-09-12,W,16,27,202,1,1,79.6,2,4,1,1,0
71,Tua Tagovailoa,5,2021-09-19,L,1,4,13,0,0,40.6,2,0,0,0,0
72,Tua Tagovailoa,5,2021-10-17,L,33,47,329,2,1,95.1,0,3,22,0,0
73,Tua Tagovailoa,5,2021-10-24,L,32,40,291,4,2,109.5,1,4,29,0,0
