,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
0,2021,Trevor Lawrence,1,2021-09-12,L,28.0,51.0,332.0,3.0,3.0,70.1,1.0,1.0,-2.0,0.0,0.0
1,2021,Trevor Lawrence,1,2021-09-19,L,14.0,33.0,118.0,1.0,2.0,37.2,1.0,2.0,21.0,0.0,0.0
2,2021,Trevor Lawrence,1,2021-09-26,L,22.0,34.0,219.0,1.0,2.0,68.1,3.0,6.0,27.0,0.0,2.0
3,2021,Trevor Lawrence,1,2021-09-30,L,17.0,24.0,204.0,0.0,0.0,96.5,1.0,8.0,36.0,1.0,0.0
4,2021,Trevor Lawrence,1,2021-10-10,L,23.0,33.0,273.0,1.0,1.0,92.1,2.0,7.0,28.0,1.0,0.0
5,2021,Trevor Lawrence,1,2021-10-17,W,25.0,41.0,319.0,1.0,0.0,93.4,2.0,2.0,11.0,0.0,1.0
6,2021,Trevor Lawrence,1,2021-10-31,L,32.0,54.0,238.0,1.0,1.0,68.3,1.0,3.0,11.0,0.0,0.0
7,2021,Trevor Lawrence,1,2021-11-07,W,15.0,26.0,118.0,0.0,0.0,69.1,2.0,3.0,4.0,0.0,0.0
8,2021,Trevor Lawrence,1,2021-11-14,L,16.0,35.0,162.0,0.0,0.0,59.5,3.0,5.0,33.0,0.0,2.0
9,2021,Trevor Lawrence,1,2021-11-21,L,16.0,25.0,158.0,0.0,0.0,81.7,3.0,3.0,23.0,0.0,0.0
10,2021,Trevor Lawrence,1,2021-11-28,L,23.0,42.0,228.0,1.0,1.0,68.4,1.0,5.0,39.0,0.0,1.0
11,2021,Trevor Lawrence,1,2021-12-05,L,16.0,28.0,145.0,0.0,0.0,71.3,2.0,4.0,10.0,0.0,1.0
12,2021,Trevor Lawrence,1,2021-12-12,L,24.0,40.0,221.0,0.0,4.0,35.5,3.0,1.0,2.0,0.0,0.0
13,2021,Trevor Lawrence,1,2021-12-19,L,22.0,38.0,210.0,0.0,0.0,73.4,3.0,5.0,21.0,0.0,0.0
14,2021,Trevor Lawrence,1,2021-12-26,L,26.0,39.0,280.0,0.0,0.0,87.6,1.0,6.0,37.0,0.0,2.0
15,2021,Trevor Lawrence,1,2022-01-02,L,17.0,27.0,193.0,1.0,3.0,57.1,2.0,2.0,16.0,0.0,0.0
16,2021,Trevor Lawrence,1,2022-01-09,W,23.0,32.0,223.0,2.0,0.0,111.8,1.0,10.0,17.0,0.0,0.0
17,2021,Trevor Lawrence,1,2022-09-11,L,24.0,42.0,275.0,1.0,1.0,75.0,2.0,2.0,4.0,0.0,0.0
18,2021,Trevor Lawrence,1,2022-09-18,W,25.0,30.0,235.0,2.0,0.0,121.5,0.0,3.0,11.0,0.0,0.0
19,2021,Trevor Lawrence,1,2022-09-25,W,28.0,39.0,262.0,3.0,0.0,115.5,0.0,3.0,7.0,0.0,0.0
20,2021,Trevor Lawrence,1,2022-10-02,L,11.0,23.0,174.0,2.0,1.0,84.3,4.0,2.0,7.0,0.0,4.0
21,2021,Trevor Lawrence,1,2022-10-09,L,25.0,47.0,286.0,0.0,2.0,54.0,0.0,4.0,29.0,0.0,0.0
