Team,Passing Yards Leader Statistic,Rushing Yards Leader Statistic,Receiving Yards Leader Statistic,Tackles Leader Statistic,Interceptions Leader Statistic
Baltimore Ravens,"1,206",572,269,50,2
Cincinnati Bengals,"1,370",230,493,52,1
Cleveland Browns,852,250,213,39,1
Pittsburgh Steelers,961,270,310,39,2
Buffalo Bills,945,309,230,54,2
Miami Dolphins,483,183,286,39,1
New England Patriots,696,356,180,32,1
New York Jets,"1,093",197,292,40,2
Atlanta Falcons,"1,373",285,354,44,1
Tampa Bay Buccaneers,"1,164",247,386,42,1
New Orleans Saints,989,388,338,36,2
Carolina Panthers,675,393,262,35,1
Chicago Bears,"1,091",234,294,40,2
Green Bay Packers,873,402,414,40,5
Minnesota Vikings,"1,111",350,450,40,2
Detroit Lions,"1,015",285,289,28,3
Dallas Cowboys,"1,424",221,378,52,1
Philadelphia Eagles,930,435,301,43,2
Washington Commanders,"1,135",325,303,44,-
New York Giants,"1,138",221,386,31,1
Arizona Cardinals,972,379,279,52,1
Los Angeles Rams,"1,238",360,281,43,1
San Francisco 49ers,"1,374",536,377,39,2
Seattle Seahawks,"1,466",202,421,42,1
Tennessee Titans,604,246,141,31,-
Houston Texans,"1,385",184,567,38,1
Indianapolis Colts,654,349,368,54,2
Jacksonville Jaguars,"1,100",273,397,37,-
Denver Broncos,866,190,224,33,2
Kansas City Chiefs,"1,235",171,288,38,1
Las Vegas Raiders,"1,014",152,313,54,1
Los Angeles Chargers,578,342,176,35,1
